id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;ano
1797;07/01/2017;sábado;14:40:00;DF;80;23,3;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;4;1;0;0;1;3;0;5;-15,636544;-48,20055;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
2309;09/01/2017;segunda-feira;07:45:00;DF;80;22,1;BRASILIA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;3;0;1;0;1;1;1;3;-15,64650049;-48,20150522;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
3134;12/01/2017;quinta-feira;14:40:00;DF;20;22,9;BRASILIA;Pista Escorregadia;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Chuva;Dupla;Declive;Não;3;0;0;0;2;1;0;3;-15,59517865;-47,66830352;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
3705;14/01/2017;sábado;10:56:00;DF;70;4;BRASILIA;Sinalização da via insuficiente ou inadequada;Colisão com objeto estático;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;4;0;1;0;1;2;1;4;-15,79717413;-48,09109498;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
3962;15/01/2017;domingo;07:00:00;DF;70;6,7;BRASILIA;Defeito Mecânico no Veículo;Saída de leito carroçável;Sem Vítimas;Amanhecer;Crescente;Ignorado;Dupla;"Reta;Aclive";Sim;1;0;0;0;0;1;0;1;-15,78861437;-48,11177552;SPRF-DF;DEL01-DF;UOP02-DEL03-DF;2017
4090;15/01/2017;domingo;18:00:00;DF;20;8;BRASILIA;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;"Declive;Curva";Sim;1;0;1;0;0;0;1;1;-15,656552;-47,787816;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
5776;22/01/2017;domingo;07:15:00;DF;20;17,8;BRASILIA;Ingestão de Álcool;Colisão traseira;Sem Vítimas;Amanhecer;Decrescente;Céu Claro;Dupla;Reta;Não;2;0;0;0;2;0;0;2;-15,61774655;-47,71095601;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
6798;26/01/2017;quinta-feira;10:00:00;DF;60;3;BRASILIA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Decrescente;Nublado;Dupla;Reta;Sim;3;1;0;0;1;1;0;3;-15,89033754;-48,08624441;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
7081;27/01/2017;sexta-feira;12:30:00;DF;20;9;BRASILIA;Falta de Atenção à Condução;Tombamento;Sem Vítimas;Pleno dia;Decrescente;Garoa/Chuvisco;Dupla;Reta;Sim;1;0;0;0;1;0;0;1;-15,65432111;-47,78416514;SPRF-DF;DEL02-DF;UOP01-DEL02-DF;2017
10858;10/02/2017;sexta-feira;16:50:00;DF;60;31;BRASILIA;Velocidade Incompatível;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;3;0;0;0;3;0;0;3;-16,04464466;-48,25663835;SPRF-DF;DEL01-DF;UOP01-DEL03-DF;2017
